Screen Name,Date,Tweet Text,Compound Score,Postive Score,Neutral Score,Negative Score,Tweet Number
BBC,Wed Nov 06 18:01:07 +0000 2019,"‘I still got pregnant even though I took the morning-after pill.'
👉 https://t.co/eXSceee6Jy https://t.co/7YUtmM9198",0.0,0.0,1.0,0.0,1
BBC,Wed Nov 06 16:09:05 +0000 2019,"RT @BBCCiN: The Annual Duck Race Sweepstake for #ChildrenInNeed is back!🦆

That's right! It's time to pick your duck and download your free…",0.0,0.0,1.0,0.0,2
BBC,Wed Nov 06 15:59:00 +0000 2019,"Here are some top tips on how to avoid being scammed by online romance fraudsters.

@msm4rsh and @AshleyJBaptiste i… https://t.co/CY5nYPIEG1",-0.052,0.2,0.593,0.207,3
BBC,Wed Nov 06 14:01:04 +0000 2019,"Obsessed with #HisDarkMaterials on @BBCOne? There's a podcast for you... ✨
Listen on @BBCSounds for a special inter… https://t.co/DrPSoAymvv",0.511,0.242,0.676,0.082,4
BBC,Wed Nov 06 13:01:07 +0000 2019,"No, it's not a perm - and no, you can't touch it!  🙅‍♀️
https://t.co/7lt5k7G8by",-0.548,0.103,0.601,0.296,5
BBC,Wed Nov 06 11:46:28 +0000 2019,"RT @BBCiPlayer: There’s nothing funny about vampires, apparently. #WastedOnSome https://t.co/qyHRxnsgH1",-0.341,0.0,0.789,0.211,6
BBC,Wed Nov 06 09:01:01 +0000 2019,"""I can't deal with this!""  🤣

@RobBeckettComic &amp; @Grimmers completely lost it on the Overthinkers Hotline... 😂
https://t.co/UqJA4gr7z2",0.586,0.216,0.651,0.133,7
BBC,Wed Nov 06 07:01:03 +0000 2019,"""I'm not really sure where I'd be if it wasn't for my teachers."" 

Jimmy will never forget what they did for him gr… https://t.co/zU3Iis2Ra6",-0.131,0.064,0.851,0.084,8
BBC,Tue Nov 05 20:01:06 +0000 2019,"Brand new #LiveAtTheApollo starts tonight, hosted by @tomallencomedy and with sets from @josierones and @KaeKurd.… https://t.co/FcSSfNxGOC",0.0,0.0,1.0,0.0,9
BBC,Tue Nov 05 19:01:07 +0000 2019,"The hunt for a chef who wants to make it to the top of the culinary world returns... 🙌🍽
#MasterChefTheProfessionals… https://t.co/valznc2Z2X",0.202,0.087,0.913,0.0,10
BBC,Tue Nov 05 16:46:58 +0000 2019,"RT @bbcbitesize: Do you have a #pug? Do you want to send them into space?...Kind of.

Share a photo of your #pug for a chance to be feature…",0.594,0.21,0.79,0.0,11
BBC,Tue Nov 05 14:15:33 +0000 2019,"RT @BBCCiN: Get together for The Annual Duck Race Sweepstake 🐤🏁

Download your free sweepstake kit now 

Watch live | 1PM | Friday 15 Novem…",0.511,0.13,0.87,0.0,12
BBC,Tue Nov 05 14:01:05 +0000 2019,"Who exactly was Guy Fawkes? 🎇
#BonfireNight #GuyFawkesNight
https://t.co/38uwIjwTZ1",0.0,0.0,1.0,0.0,13
BBC,Tue Nov 05 10:08:01 +0000 2019,"This is the effect fireworks can have on a dog.
#BonfireNight #GuyFawkesNight 
https://t.co/inK5CPQ7kJ",0.0,0.0,1.0,0.0,14
BBC,Tue Nov 05 09:01:02 +0000 2019,"What's the craic?

#DublinMurders stars Sarah Greene and Tom Vaughan-Lawlor are here to teach you some Irish slang.… https://t.co/8lk5aqJ69Q",0.0,0.0,1.0,0.0,15
BBC,Tue Nov 05 07:01:01 +0000 2019,"What's the real reason bears scratch their backs against trees?  🐻🌳🤔
#MeetTheBears | Streaming now on @BBCiPlayer.
https://t.co/lmuF62vdpw",-0.052,0.0,0.93,0.07,16
BBC,Mon Nov 04 18:01:07 +0000 2019,There was a tearful reunion when 92-year-old Melpomeni Dina met with two Jewish siblings she helped save from the N… https://t.co/0O8sDPWykK,0.494,0.144,0.856,0.0,17
BBC,Mon Nov 04 17:01:10 +0000 2019,"Nature's answer to Jackson Pollock anyone? 💩🐧

#SevenWorldsOnePlanet
https://t.co/m0C03vdi5u",0.0,0.0,1.0,0.0,18
BBC,Mon Nov 04 13:49:49 +0000 2019,"RT @BBCCiN: 📣 Did you hear the news?! 📣

The one and only @Louis_Tomlinson will be performing on this year's #ChildrenInNeed Appeal Show! 🙌…",0.0,0.0,1.0,0.0,19
BBC,Mon Nov 04 13:49:31 +0000 2019,"RT @BBCRadio2: On Wednesday 6th November, the Zoe Ball Breakfast Show on BBC Radio 2 (6:30-9:30am GMT) will broadcast the world exclusive f…",0.128,0.067,0.933,0.0,20
BBC,Mon Nov 04 13:01:02 +0000 2019,Know your Smelly Cat from your left phalange? See if you can beat Jennifer Aniston at the Ultimate Friends Quiz…… https://t.co/VO4N6Qebf9,0.477,0.134,0.866,0.0,21
BBC,Mon Nov 04 10:42:01 +0000 2019,It’s the second year in a row that the #BTS #ARMY have won #EMABiggestFans... https://t.co/BwffPDnkJu,0.572,0.222,0.778,0.0,22
BBC,Mon Nov 04 10:35:11 +0000 2019,".@BTS_twt were the big winners of the 2019 #EMAs, being crowned best group, best live act, and the #BTS #ARMY winni… https://t.co/0R0jJbTijg",0.91,0.377,0.623,0.0,23
BBC,Mon Nov 04 09:01:05 +0000 2019,"""This thing is growing at an exponential rate!""

Who Are the #FlatEarthers? | Streaming now on @BBCiPlayer.
https://t.co/loEz4TwXjd",0.248,0.111,0.889,0.0,24
BBC,Mon Nov 04 07:01:04 +0000 2019,"After thirteen years held captive, Ivy Moxam finally makes her daring escape. 

@JodieComer stars in #Thirteen |… https://t.co/bJ6eRK4ts3",0.494,0.208,0.792,0.0,25
BBC,Sun Nov 03 19:01:04 +0000 2019,"✨ It's almost time for the first episode of #HisDarkMaterials, an adaptation of Philip Pullman’s best-selling fanta… https://t.co/IkPbCSSqLF",0.318,0.119,0.881,0.0,26
BBC,Sun Nov 03 17:01:04 +0000 2019,"Tonight #SevenWorldsOnePlanet explores Asia - where rarely seen animals roam the hottest deserts, tallest jungles a… https://t.co/X1hOzD4UyF",0.0,0.0,1.0,0.0,27
BBC,Sun Nov 03 15:22:58 +0000 2019,"RT @BBCSounds: ""Money just shouldn't be in the equation, especially when it comes to things like HIV...""

@JVN gives a passionate explanati…",0.71,0.237,0.763,0.0,28
BBC,Sun Nov 03 15:22:21 +0000 2019,"RT @BBCRadio2: ""One of the biggest British bands... EVER!""

That's how our @Fearnecotton introduced UK chart-toppers @Stereophonics on stag…",0.0,0.0,1.0,0.0,29
BBC,Sun Nov 03 14:01:03 +0000 2019,"Do we think differently in different languages?  💬🗣
https://t.co/ggN07nRcGx",0.0,0.0,1.0,0.0,30
BBC,Sun Nov 03 12:01:03 +0000 2019,"Would love to see Kerry on #TheApprentice. 💼💰
#ThisCountry | Streaming now on @BBCThree.
https://t.co/UiyBvnmet7",0.637,0.244,0.756,0.0,31
BBC,Sun Nov 03 11:01:11 +0000 2019,"How pianos became part of the furniture at UK railway stations.  🎶🚂
👉 https://t.co/I8Ys2R0ifP https://t.co/kzvNKdKkZP",0.0,0.0,1.0,0.0,32
BBC,Sun Nov 03 10:01:06 +0000 2019,"SO many people came together to be part of Suranne Jones' #GotItCovered @CleanBandit cover for @BBCCiN!  🙌
Streamin… https://t.co/JWzxnFn3Ln",0.0,0.0,1.0,0.0,33
BBC,Sun Nov 03 09:01:02 +0000 2019,"Coming up on @bbc5live today: #PalacevLeicester and #EvertonvSpurs. ⚽️
#5LivePremSunday #PALLEI #EVETOT
👉… https://t.co/Me8dCHTGzD",0.0,0.0,1.0,0.0,34
BBC,Sat Nov 02 18:01:07 +0000 2019,"Is the screen you're looking at right now making you age faster?  📱
https://t.co/wY8QwNNtiA",0.0,0.0,1.0,0.0,35
BBC,Sat Nov 02 16:01:06 +0000 2019,That moment when @BBCDoctorWho's Jodie Whittaker was surprised by her @Coldplay heroes - Jonny Buckland and Will Ch… https://t.co/9auoq0am8w,0.637,0.245,0.755,0.0,36
BBC,Sat Nov 02 15:01:04 +0000 2019,"""I'm having more fun making music!"" 💕 

@Harry_Styles tells @GregJames about #WatermelonSugar, his album and when w… https://t.co/X3vmAaBwa1",0.597,0.178,0.822,0.0,37
BBC,Sat Nov 02 14:01:06 +0000 2019,"""Girl, why are you using so much shampoo!?"" 😂

Is this the most stressed out we've ever seen @JVN? 😬
https://t.co/piMSq0bpef",-0.43,0.114,0.658,0.229,38
BBC,Sat Nov 02 13:01:07 +0000 2019,"Redwoods could be the solution to the climate crisis, but they’re under threat. 🌲💔 
#TheAmericas with @simon_reeve… https://t.co/Kz3nuUs3sT",-0.758,0.069,0.63,0.3,39
BBC,Sat Nov 02 12:01:04 +0000 2019,"Some weird and wonderful facts about teeth! 😁
https://t.co/SnUVzMiCO8",0.742,0.374,0.535,0.091,40
BBC,Sat Nov 02 11:01:02 +0000 2019,"Believe it or not, there was a time when motorway services were the height of cool… 🚙
https://t.co/gRtvdR8gbR",0.0,0.0,1.0,0.0,41
BBC,Sat Nov 02 10:01:06 +0000 2019,"Innes was born 4 months premature and is fighting for his life.
#TinyLives is now streaming on @BBCiPlayer.
https://t.co/rX4fvQrbtZ",-0.361,0.0,0.872,0.128,42
BBC,Sat Nov 02 07:01:05 +0000 2019,"It's #RugbyWorldCupFinal day!   🙌 🏉🏆
Live build up of #ENGvRSA has kicked off on @bbc5live, with match commentary f… https://t.co/kD1QUN84GQ",0.0,0.0,1.0,0.0,43
BBC,Fri Nov 01 20:01:07 +0000 2019,"It's another incredible sofa line up for @grahnort as he's joined by @IanMcKellen, @JulieAndrews, Jennifer Aniston,… https://t.co/GZRFvDoOf5",0.0,0.0,1.0,0.0,44
BBC,Fri Nov 01 18:01:05 +0000 2019,"Tributes have been paid to Pumpkin, the most popular raccoon on Instagram, after she died at the age of four.
👉… https://t.co/4zEOfreZbx",-0.13,0.116,0.749,0.135,45
BBC,Fri Nov 01 17:01:05 +0000 2019,"Oops.  🙊 
#Fleabag | Streaming now on @BBCThree.
https://t.co/MEMn0bOpTL",0.0,0.0,1.0,0.0,46
BBC,Fri Nov 01 14:24:44 +0000 2019,RT @HackerTDog: Get the #FridayFeeling by watching my top notch film with YouTuber @KimEnsonTV. I learn a foreign language. Watch the whole…,0.202,0.087,0.913,0.0,47
BBC,Fri Nov 01 14:01:04 +0000 2019,A waiter lost his job after asking for a selfie with Dame Emma Thompson. What's the etiquette for photos with celeb… https://t.co/WnvX5LnWKo,-0.318,0.0,0.892,0.108,48
BBC,Fri Nov 01 13:01:07 +0000 2019,"Tilly lost both hands after contracting meningitis. Here’s how new bionic hands are giving her immense freedom. ❤️
https://t.co/sBzKIgl2XI",0.649,0.255,0.656,0.089,49
BBC,Fri Nov 01 12:01:04 +0000 2019,"""Hasta la vista, baby!"" 

What's your favourite Arnold @Schwarzenegger one-liner?  👊
Watch @AliPlumb chat to him in… https://t.co/iD7ILfYlVU",0.0,0.0,1.0,0.0,50
BBC,Fri Nov 01 09:01:05 +0000 2019,"Here's what happened when Will Sharpe taught Kelly MacDonald some unique Japanese phrases... 🇯🇵😂 #GiriHaji
https://t.co/z5Ydx7yg9U",0.0,0.0,1.0,0.0,51
BBC,Fri Nov 01 08:01:06 +0000 2019,"How to live a longer (and healthier) life: Nine simple tips from @BBCWomansHour.  🧘‍♀️
👉 https://t.co/Y0XDlf3NwK https://t.co/Ux2IHA7brA",0.0,0.0,1.0,0.0,52
BBC,Fri Nov 01 07:01:03 +0000 2019,"As the first port of call for over 150 patients, junior doctor Sofia is feeling the pressure on her first ever nigh… https://t.co/ThWMpjQ48Z",-0.178,0.061,0.85,0.089,53
BBC,Thu Oct 31 21:01:04 +0000 2019,"""Try and stay calm. You're doing very well.”  🦇

#Dracula is a chilling new series from the creators of Sherlock –… https://t.co/UfCvUxWF9J",0.296,0.103,0.848,0.049,54
BBC,Thu Oct 31 19:01:02 +0000 2019,"It's another brilliant line up on @BBCLater tonight, co-hosted by @LadyLeshurr... music from @THE_SLPofficial,… https://t.co/D5XMg6rL2U",0.586,0.213,0.787,0.0,55
BBC,Thu Oct 31 18:01:10 +0000 2019,Helena Bonham Carter on the time @GuyAChambers phoned her up and asked her to record a song for this year's @BBCCiN… https://t.co/fUcjp5n3eh,0.0,0.0,1.0,0.0,56
BBC,Thu Oct 31 17:01:07 +0000 2019,"""It's time.""

Who's excited? 🙋‍♀️🙋‍♂️
#HisDarkMaterials starts this Sunday | 8pm | @BBCOne &amp; @BBCiPlayer.

https://t.co/xT4KW5I4yc",0.34,0.156,0.844,0.0,57
BBC,Thu Oct 31 15:01:03 +0000 2019,"'Halloween is NOT fun!'  🙅‍♀️🙅‍♂️🎃
It was a very special Unpopular Opinion with @GregJames today as @Harry_Styles s… https://t.co/zuxa4iWoss",0.508,0.162,0.838,0.0,58
BBC,Thu Oct 31 14:01:03 +0000 2019,"Sergeant Stevie Bull has been nominated for a Pride of Britain award, after she tackled a man with a gun in a hospi… https://t.co/C3LX9vWnYS",0.542,0.233,0.672,0.095,59
BBC,Thu Oct 31 11:57:54 +0000 2019,"#HappyHarryween - @BBCLater have announced @Harry_Styles will make his show debut on 21st November!   🙌🤩
He joins… https://t.co/kBIAXlqc0e",0.0,0.0,1.0,0.0,60
BBC,Thu Oct 31 09:01:04 +0000 2019,"Social media accounts for your pets - yes or no?  🐶🤔
https://t.co/zQrbMEFsWn",0.128,0.194,0.647,0.158,61
BBC,Thu Oct 31 08:01:02 +0000 2019,📣TEACHERS! There is a live programme from @BBCTeach coming next Monday at 8pm - @maddiemoate will host a special sh… https://t.co/4X1myui19D,0.457,0.15,0.85,0.0,62
BBC,Thu Oct 31 07:01:02 +0000 2019,"For @adamlambert, performing with @QueenWillRock has been a dream come true.  🙌
https://t.co/suWyecxsWv",0.586,0.304,0.696,0.0,63
BBC,Wed Oct 30 20:34:00 +0000 2019,Artist and writer @GAIKASAYS unearths the tragic story of a British lynching that took place during the 1919 race r… https://t.co/Cn8xU0LQBx,-0.459,0.0,0.864,0.136,64
BBC,Wed Oct 30 18:59:07 +0000 2019,"Ten big-name actors, including #JimBroadbent, #JodieWhittaker, #DavidTennant and #OliviaColman, come together to re… https://t.co/w9jJZTy6TD",0.0,0.0,1.0,0.0,65
BBC,Wed Oct 30 18:01:00 +0000 2019,"The red squirrel population is under threat in the UK. What can we do to help?

Countryfile Autumn Diaries. Now str… https://t.co/OUOIGzt6LS",-0.178,0.103,0.766,0.13,66
BBC,Wed Oct 30 17:00:21 +0000 2019,"This is so sweet!

The moment when @Camila_Cabello fangirls over @EmiliaClarke. 
#TheGNShow https://t.co/mMrPuE6euL",0.632,0.257,0.743,0.0,67
BBC,Wed Oct 30 15:01:07 +0000 2019,"When Olivia Colman organises the one and only @TaylorSwift13 to come and surprise you in the studio... 😍 

@BBCCiN… https://t.co/PAz6ksZR2Z",0.625,0.195,0.805,0.0,68
BBC,Wed Oct 30 14:01:03 +0000 2019,"Bronx school stabbing: 'How did the killer become the victim?'
A new @BBCThree documentary speaks to people at the… https://t.co/ABl6CZatI6",-0.649,0.0,0.807,0.193,69
BBC,Wed Oct 30 13:01:03 +0000 2019,"Would you swipe right...?  🐸❤️😂 #QI
https://t.co/dQT5lJVdZf",0.0,0.0,1.0,0.0,70
BBC,Wed Oct 30 12:01:09 +0000 2019,"A list of the richest under-30s in the UK has been published - who makes the cut this year?  💰
👉… https://t.co/UiOiiOGRlS",0.318,0.139,0.776,0.086,71
BBC,Wed Oct 30 11:37:48 +0000 2019,RT @BBCiPlayer: Disgusted by hot priests and Brummie gangsters? Maybe BBC iPlayer just isn’t for you… #WastedOnSome https://t.co/6bbK7Trs7T,-0.527,0.0,0.833,0.167,72
BBC,Wed Oct 30 09:01:04 +0000 2019,"A deal's a deal.
From @kris_n_dave via @BBCScotland 
https://t.co/orB4Tlqm1I",0.0,0.0,1.0,0.0,73
BBC,Wed Oct 30 08:01:07 +0000 2019,"Cooking with your best mate is a real test of friendship.  🤬
#ThisCountry | @BBCThree.
https://t.co/1MfUnFGaES",0.796,0.307,0.693,0.0,74
BBC,Wed Oct 30 07:01:04 +0000 2019,"'Women's Time' is part of a local radio programme in Malawi, where women are invited to the studio to discuss topic… https://t.co/Lf4M798nvl",0.0,0.0,1.0,0.0,75
BBC,Tue Oct 29 20:01:10 +0000 2019,"Find a bestie who’ll tell you when you’re being a right scumbag. 😂
@blakeharrison23 #WorldOnFire 
https://t.co/qirYbjPIsa",-0.318,0.153,0.602,0.245,76
BBC,Tue Oct 29 19:01:05 +0000 2019,"""You have the courage to imagine a future that puts our beautiful planet first."" 🌍

@elliegoulding urges young peop… https://t.co/Xkn65aR7s3",0.796,0.272,0.728,0.0,77
BBC,Tue Oct 29 17:01:03 +0000 2019,"Would you like to control what you hear at a concert? 
@eltonofficial is testing out a new app that lets you mix th… https://t.co/oHraWIhE3k",0.361,0.106,0.894,0.0,78
BBC,Tue Oct 29 13:39:13 +0000 2019,RT @BBCBreaking: Jeremy Corbyn says Labour will support early general election ahead of Boris Johnson's latest bid for December poll https:…,0.402,0.119,0.881,0.0,79
BBC,Tue Oct 29 13:01:07 +0000 2019,"""Prayer is the greatest freedom of all."" 
Father Giles, has been a Benedictine monk for 47 years.
https://t.co/WdgPOXdrq0",0.856,0.359,0.641,0.0,80
BBC,Tue Oct 29 12:01:09 +0000 2019,"Can drinking red wine ever be good for us?  🍷
👉 https://t.co/F5SlKesWi8 https://t.co/G4b2KMEbAV",0.44,0.153,0.847,0.0,81
BBC,Tue Oct 29 09:01:01 +0000 2019,"Forever waiting for The Drop.  🙌
#ThisCountry | @BBCThree.
https://t.co/JXtC4so4oE",-0.273,0.0,0.811,0.189,82
BBC,Tue Oct 29 08:01:05 +0000 2019,British Paralympian Ollie Hynd has said it's 'important to not just see the medals' when it comes to Paralympic ath… https://t.co/0hYzH5BKdY,0.202,0.083,0.917,0.0,83
BBC,Tue Oct 29 07:01:06 +0000 2019,A study from @OfficialUoM has found that people with long-term health problems are more likely to feel pain when th… https://t.co/Xz0TK8f0Mu,-0.718,0.0,0.75,0.25,84
BBC,Tue Oct 29 06:08:22 +0000 2019,"RT @BBCSounds: 🤔 How does a @BBCStrictly pro dance come together? 

🎤 @Joe_Sugg finds out all from @dbuzz6589!

🎧 Listen to the official St…",0.0,0.0,1.0,0.0,85
BBC,Tue Oct 29 06:08:01 +0000 2019,"RT @BBCCiN: 📣 ANNOUNCEMENT 📣

As revealed on @BBCStrictly: It Takes Two, @BBCEastenders stars will be taking to the Strictly Ballroom, alon…",0.0,0.0,1.0,0.0,86
BBC,Mon Oct 28 18:01:06 +0000 2019,"Learning to drive small cars helps rats feel less stressed, scientists have found. 🐀🚗
👉 https://t.co/wQ8fgqB7dm https://t.co/JMFqmJgy3m",0.126,0.115,0.793,0.093,87
BBC,Mon Oct 28 17:01:05 +0000 2019,"Anastasia was forced to flee from the 2018 California fires separately from her husband, while eight months' pregna… https://t.co/evZlw7mQzw",-0.459,0.0,0.857,0.143,88
BBC,Mon Oct 28 14:01:06 +0000 2019,"What's the secret to reaching 100 years of age in good health? 👴 👵
https://t.co/wSh2Ub2Zkc",0.572,0.239,0.761,0.0,89
BBC,Mon Oct 28 13:01:03 +0000 2019,"Junior doctor Sofia is put to the test with an on the spot diagnosis. 
#JuniorDoctors | @BBCThree.
https://t.co/bj9NewVlNa",0.0,0.0,1.0,0.0,90
BBC,Mon Oct 28 12:34:57 +0000 2019,"Happy #Diwali!

Learn more about the #FestivalOfLights and how it's celebrated here.
👉 https://t.co/uTE9FUiRut… https://t.co/uGPahNs4Nk",0.827,0.325,0.675,0.0,91
BBC,Mon Oct 28 12:01:07 +0000 2019,"Post Traumatic Stress Disorder diagnosis rates in the UK military have increased over the past decade, and research… https://t.co/nNhxw6UdgR",-0.796,0.08,0.57,0.35,92
BBC,Mon Oct 28 11:56:04 +0000 2019,"RT @bbcasiannetwork: Just @NavaanSandhu's voice and the vaja 💙 

Navaan and @mannisandhu have recorded a very special #Diwali acoustic sess…",0.458,0.136,0.864,0.0,93
BBC,Mon Oct 28 11:55:50 +0000 2019,"RT @bbcasiannetwork: Happy #Diwali 🧡✨

👩🏽‍🎨 @zhkdesigns https://t.co/5hpWbxQJHc",0.572,0.252,0.748,0.0,94
BBC,Mon Oct 28 10:40:26 +0000 2019,They can act... but can they sing? Britain's biggest stars are recording a special album for @BBCCiN. #GotItCovered… https://t.co/zmcWgEJ36d,0.55,0.173,0.827,0.0,95
BBC,Mon Oct 28 09:01:04 +0000 2019,"Could we replace plastic straws with pasta? This entrepreneur thinks so... 🍝😲♻️ #DragonsDen
https://t.co/wKL7ZHLOgu",0.0,0.0,1.0,0.0,96
BBC,Mon Oct 28 08:01:04 +0000 2019,"Nadir Nahdi has started an inclusive running club. 🏃🏾
https://t.co/H2GJNHbVJr",0.0,0.0,1.0,0.0,97
BBC,Mon Oct 28 07:01:03 +0000 2019,"THIS. 🤣 #Motherland #MondayMotivation
https://t.co/Hyaahkb2I2",0.494,0.286,0.714,0.0,98
BBC,Sun Oct 27 19:01:04 +0000 2019,"In the third leg of his journey through #TheAmericas, @simon_reeve is travelling down the length of California.  🇺🇸… https://t.co/5zb1sUbBl3",0.0,0.0,1.0,0.0,99
BBC,Sun Oct 27 18:19:04 +0000 2019,@BBCOne @BBCiPlayer 🙌🏻,0.0,0.0,1.0,0.0,100
CBS,Wed Nov 06 19:00:50 +0000 2019,RT @NCISNewOrleans: Thank you #NCISNOLA fans! from @TheLucasBlack. https://t.co/b5s5pji55R,0.42,0.259,0.741,0.0,1
CBS,Wed Nov 06 17:03:10 +0000 2019,What do you get when sports icons and comedians face off in wild physical &amp; trivia challenges? GAME ON! A new show… https://t.co/9icszRVlGm,0.42,0.159,0.841,0.0,2
CBS,Tue Nov 05 21:55:02 +0000 2019,"When Forrest and Delia are tasked with minding the snack shack, caloric chaos ensues. Catch new episodes of… https://t.co/6RCX5uxyxX",-0.572,0.0,0.829,0.171,3
CBS,Tue Nov 05 18:26:55 +0000 2019,@l_olayiwola #BobHeartsAbishola https://t.co/uJvxSlwbHy,0.0,0.0,1.0,0.0,4
CBS,Tue Nov 05 02:09:15 +0000 2019,Looking to follow the new @AllRiseCBS Twitter and Instagram handles? We'll allow it. #AllRise https://t.co/S8iBLxdI4v,0.226,0.119,0.881,0.0,5
CBS,Tue Nov 05 02:01:51 +0000 2019,RT @AllRiseCBS: All eyes on #AllRise. New episode starts NOW! 🎢 https://t.co/EA8g0td2uk,0.0,0.0,1.0,0.0,6
CBS,Tue Nov 05 02:01:33 +0000 2019,@EMauraA The sock biz moves pretty quickly. #bobheartsabishola https://t.co/h8u08QMmYO,0.494,0.286,0.714,0.0,7
CBS,Tue Nov 05 02:00:55 +0000 2019,We ❤️ watching #BobHeartsAbishola with you. Join us for a new episode in two weeks on 11/18 on CBS. https://t.co/7MCHkbjcin,0.296,0.104,0.896,0.0,8
CBS,Tue Nov 05 01:53:54 +0000 2019,"@stef_j_30 Dottie's frustrated, alright. #bobheartsabishola https://t.co/orM5rX1hER",-0.34,0.213,0.426,0.362,9
CBS,Tue Nov 05 01:50:51 +0000 2019,@SahHtown #bobheartsabishola https://t.co/qyeyO04xUm,0.0,0.0,1.0,0.0,10
CBS,Tue Nov 05 01:47:33 +0000 2019,@abpf91 @CEbersoleFans @TheFolake But there are limits to Abishola's help. #bobheartsabishola https://t.co/oiEldYkRBj,0.55,0.244,0.756,0.0,11
CBS,Tue Nov 05 01:46:31 +0000 2019,@dreamgirl_steph #bobheartsabishola https://t.co/bLPRQGn1tJ,0.0,0.0,1.0,0.0,12
CBS,Tue Nov 05 01:44:59 +0000 2019,#BobHeartsAbishola and Instagram. Show some ❤️ and follow the new account for exclusive content. https://t.co/7xuwcmMCRp,0.128,0.091,0.909,0.0,13
CBS,Tue Nov 05 01:42:50 +0000 2019,The road to recovery is paved with ❤️. #BobHeartsAbishola https://t.co/2TNBaRFv09,0.0,0.0,1.0,0.0,14
CBS,Tue Nov 05 01:40:54 +0000 2019,@1986Webber @TONYOK #bobheartsabishola https://t.co/zLViv4h0QJ,0.0,0.0,1.0,0.0,15
CBS,Tue Nov 05 01:40:02 +0000 2019,@EMauraA Everybody ❤️ Dottie. #bobheartsabishola https://t.co/oRYU0EagnG,0.0,0.0,1.0,0.0,16
CBS,Tue Nov 05 01:37:52 +0000 2019,@sean3528 Maybe they are. #bobheartsabishola https://t.co/OTcQNUbKKH,0.0,0.0,1.0,0.0,17
CBS,Tue Nov 05 01:37:01 +0000 2019,@happymimi13 We ❤️ that they have Abishola's back. #bobheartsabishola https://t.co/tK4Tjf05Qt,0.0,0.0,1.0,0.0,18
CBS,Tue Nov 05 01:35:49 +0000 2019,@rockster38181 We ❤️ that. #bobheartsabishola https://t.co/SoahXJjFYy,0.0,0.0,1.0,0.0,19
CBS,Tue Nov 05 01:34:13 +0000 2019,@DelightfulDame We told you. #bobheartsabishola https://t.co/CIMOZYwj8s,0.0,0.0,1.0,0.0,20
CBS,Tue Nov 05 01:33:06 +0000 2019,@AnneLaBarbera The book can't help with everything. #bobheartsabishola https://t.co/qV5DXTILE3,-0.309,0.0,0.78,0.22,21
CBS,Tue Nov 05 01:31:15 +0000 2019,@SunshineSaver Auntie will be so proud. #bobheartsabishola https://t.co/iFKBslIYTx,0.611,0.363,0.637,0.0,22
CBS,Tue Nov 05 01:30:00 +0000 2019,Show some ❤️. An all-new #BobHeartsAbishola starts NOW. https://t.co/bfPWw4HJF9,0.0,0.0,1.0,0.0,23
CBS,Tue Nov 05 00:38:52 +0000 2019,RT @TheNeighborhood: Say 'I do' to tonight's all-new episode of #TheNeighborhood at 8/7c on @CBS and @CBSAllAccess: https://t.co/zuE1XjKVL0…,0.0,0.0,1.0,0.0,24
CBS,Mon Nov 04 23:30:00 +0000 2019,#TheUnicorn's @iamRubyJay and @itsmakenziemoss share a sisterly bond both on and off screen. Enjoy this behind-the-… https://t.co/NWhs96Bczj,0.66,0.278,0.722,0.0,25
CBS,Mon Nov 04 21:00:00 +0000 2019,"Lola's mother, Roxy, drops by the courtroom. Watch @AllRiseCBS Mondays at 9/8c on CBS. https://t.co/0BuFYd6Xps",0.0,0.0,1.0,0.0,26
CBS,Mon Nov 04 20:01:59 +0000 2019,"RT @AllRiseCBS: Attention #AllRise fans: Let's make things Twitter official! You heard @SimoneMissick, follow us and live-tweet along TONIG…",0.0,0.0,1.0,0.0,27
CBS,Mon Nov 04 19:09:16 +0000 2019,"'Tis the season to celebrate with CBS. From Rudolph and Frosty to #Home4Holidays and #ILoveLucy and MORE, see when… https://t.co/rmyoNLtHqP",0.572,0.163,0.837,0.0,28
